ing	<ɪŋ>
de	<də>
arc	<ɑrk>
ore	<ɔr>
re	<ri>
spec	<spɛk>
ly	<laɪ>
al	<æl>
ism	<ˈɪzəm>
in	<ɪn>
lid	<lɪd>
i	<aɪ>
ty	<taɪ>
mi	<mi>
cro	<kroʊ>
pro	<proʊ>
sor	<sɔr>
des	<dɪ>
ti	<ti>
en	<ɛn>
ter	<tər>
ire	<aɪr>
se	<seɪ>
con	<kɑn>
let	<lɛt>
cuff	<kəf>
dis	<dɪs>
miss	<mɪs>
ag	<ˈeɪˈgi>
ate	<eɪt>
surf	<sərf>
er	<ər>
signed	<saɪnd>
hon	<hɑn>
es	<ɛs>
now	<naʊ>
a	<ə>
days	<deɪz>
cy	<saɪ>
cling	<klɪŋ>
mod	<mɔd>
est	<ɛst>
cap	<kæp>
tat	<tæt>
ed	<ɛd>
mis	<mɪs>
rep	<rɛpriˈzɛtətɪv>
sent	<sɛnt>
bad	<bæd>
min	<mɪn>
ton	<tən>
rev	<rɛv>
o	<oʊ>
lu	<lu>
ar	<ɑr>
for	<fər>
got	<gɑt>
it	<ɪt>
stu	<stu>
pas	<pɑz>
to	<tɪ>
mu	<mu>
tu	<tu>
e	<i>
merged	<mərʤd>
brace	<breɪs>
ture	<tʊr>
on	<ɔn>
ten	<tɛn>
dwell	<dwɛl>
tea	<ti>
pot	<pɑt>
val	<væl>
u	<ju>
duc	<dək>
bi	<baɪ>
faith	<feɪθ>
nod	<nɑd>
ducks	<dəks>
ba	<ˌbiˈeɪ>
deem	<dim>
cuss	<kəs>
need	<nid>
trans	<trænz>
form	<fɔrm>
pol	<pɔl>
y	<waɪ>
screen	<skrin>
cat	<kæt>
suit	<sut>
bow	<boʊ>
cor	<kɔr>
na	<nɑ>
grad	<græd>
out	<aʊt>
ex	<ɛks>
break	<breɪk>
up	<əp>
pre	<pri>
di	<di>
pi	<paɪ>
pa	<pɑ>
gar	<gɑr>
un	<ˈjuˈɛn>
ni	<ni>
bly	<blaɪ>
tin	<tɪn>
prom	<prɑm>
ul	<əl>
ga	<ˈʤɔrʤə>
la	<lɑ>
