psychotherapy	paɪʧoʊθəreɪpaɪ	<ˌsaɪkoʊˈθɛrəpi>
inlay	ɪnleɪ	<ˈɪnˌleɪ>
unstructured	ənstrəktʊrd	<ənˈstrəkʃərd>
hyperactive	haɪpəræktaɪv	<ˌhaɪpərˈæktɪv>
worker	wərkər	<ˈwərkər>
qualitative	kwɑlaɪtɑtaɪv	<kˈwɑləˌteɪtɪv>
beep	bip	<bip>
quarrying	kwɑrraɪɪŋ	<kˈwɔriɪŋ>
rabid	ræbɪd	<ˈræbɪd>
flammable	flæmmɑbli	<ˈflæməbəl>
throes	θroʊz	<θroʊz>
occupy	ɑkkupaɪ	<ˈɑkjəˌpaɪ>
gent	ʤɛnt	<ʤɛnt>
hepatic	hipætɪk	<həˈpætɪk>
hypertrophy	haɪpərtroʊfaɪ	<ˈhaɪpərˌtroʊfi>
destruction	distrəktaɪn	<dɪˈstrəkʃən>
parlour	pɑrlaʊər	<ˈpɑrlər>
lichen	laɪʧɛn	<ˈlaɪkən>
lupus	lupʊz	<ˈlupəs>
blindfold	blɪndfoʊld	<ˈblaɪndˌfoʊld>
preservative	prisərveɪtaɪv	<priˈzərvətɪv>
hesitation	hɛsaɪtɑtaɪn	<ˌhɛzəˈteɪʃən>
unwilling	ənwɪlɪŋ	<ənˈwɪlɪŋ>
tuba	tubɑ	<ˈtubə>
are	ɛr	<ər>
grouse	graʊs	<graʊs>
muller	mələr	<ˈmələr>
surrealism	sərriælɪs	<sərˈiəˌlɪzəm>
salmonella	sælmoʊnɛllɑ	<ˌsælməˈnɛlə>
faithfulness	feɪθfəlnɛs	<ˈfeɪθfəlˌnɛs>
depleted	diplɛtɛd	<dɪˈplitɪd>
bender	bɛndər	<ˈbɛndər>
sew	su	<soʊ>
residing	risɪdɪŋ	<rɪˈzaɪdɪŋ>
slick	slɪk	<slɪk>
rage	reɪʤ	<reɪʤ>
disposition	dɪspoʊsitaɪn	<ˌdɪspəˈzɪʃən>
orphan	ərfæn	<ˈɔrfən>
ash	æʃ	<æʃ>
exhaustion	ɛkshaʊztaɪn	<ɪgˈzɔsʧən>
lodge	lɑʤ	<lɑʤ>
impeding	ɪmpɛdɪŋ	<ˌɪmˈpidɪŋ>
augmented	ɔgmɛntɛd	<ɑgˈmɛntəd>
marketplace	mɑrkɛtpleɪs	<ˈmɑrkɪtˌpleɪs>
optimist	ɑptimɪst	<ˈɑptɪmɪst>
chew	ʧu	<ʧu>
cobwebs	kɑbwɛbz	<ˈkɑbˌwɛbz>
microgram	mikroʊgræm	<ˈmaɪkroʊˌgræm>
ova	oʊvɑ	<ˈoʊvə>
peacetime	pistaɪm	<ˈpiˌstaɪm>
fall	fæl	<fɔl>
doctrine	dɑktraɪn	<ˈdɔktərɪn>
depart	dipɑrt	<dɪˈpɑrt>
angler	ænglər	<ˈæŋglər>
geography	ʤiɑgrɑfaɪ	<ʤiˈɑgrəfi>
phi	faɪ	<faɪ>
goldfish	goʊldfɪʃ	<ˈgoʊldˌfɪʃ>
concatenation	kɑnkætinɑtaɪn	<kənˌkætəˈneɪʃən>
sovereign	sɑvərɪŋ	<ˈsɑvrən>
hale	heɪl	<heɪl>
dairies	dɛraɪz	<ˈdɛriz>
unable	əneɪbli	<əˈneɪbəl>
alias	elaɪz	<ˈeɪliəs>
destructive	distrəktaɪv	<dɪˈstrəktɪv>
parlor	pɑrlɔr	<ˈpɑrlər>
unofficial	ənɑffaɪkil	<ˌənəˈfɪʃəl>
adapter	eɪdæptər	<əˈdæptər>
minder	mɪndər	<ˈmaɪndər>
face	feɪs	<feɪs>
peruse	piruz	<pəruz>
endoscopy	ɛndɑskoʊpaɪ	<ˌɛnˈdɔskɑpi>
hang	hæŋ	<hæŋ>
german	gərmæn	<ˈʤərmən>
irrational	ərrɑtaɪnæl	<ˌɪˈræʃənəl>
hostage	hɑsteɪʤ	<ˈhɑstɪʤ>
acoustical	eɪkaʊztikæl	<əˈkustɪkəl>
oppressive	ɑpprɛzsaɪv	<əˈprɛsɪv>
bauxite	bɑksaɪt	<ˈbɔksaɪt>
